c,n,repeticion,orden_efectivo
6,1000,1,11
6,1000,2,14
6,1000,3,12
6,1000,4,13
6,1000,5,12
6,1000,6,12
6,1000,7,14
6,1000,8,12
6,1000,9,13
6,1000,10,12
6,1000,11,12
6,1000,12,12
6,1000,13,14
6,1000,14,13
6,1000,15,14
6,1000,16,13
6,1000,17,12
6,1000,18,11
6,1000,19,12
6,2500,0,13
6,2500,1,13
6,2500,2,13
6,2500,3,13
6,2500,4,13
6,2500,5,15
6,2500,6,13
6,2500,7,14
6,2500,8,13
6,2500,9,13
6,2500,10,13
6,2500,11,15
6,2500,12,13
6,2500,13,14
6,2500,14,16
6,2500,15,14
6,2500,16,14
6,2500,17,13
6,2500,18,14
6,2500,19,14
6,5000,0,16
6,5000,1,17
6,5000,2,17
6,5000,3,16
6,5000,4,16
6,5000,5,16
6,5000,6,17
6,5000,7,15
6,5000,8,16
6,5000,9,16
6,5000,10,16
6,5000,11,18
6,5000,12,16
6,5000,13,15
6,5000,14,15
6,5000,15,15
6,5000,16,16
6,5000,17,15
6,5000,18,16
6,5000,19,16
6,10000,0,17
6,10000,1,18
6,10000,2,19
6,10000,3,19
6,10000,4,17
6,10000,5,17
6,10000,6,17
6,10000,7,16
6,10000,8,18
6,10000,9,17
6,10000,10,17
6,10000,11,16
6,10000,12,17
6,10000,13,16
6,10000,14,16
6,10000,15,16
6,10000,16,18
6,10000,17,18
6,10000,18,16
6,10000,19,18
8,100,0,5
8,100,1,6
8,100,2,5
8,100,3,5
8,100,4,6
8,100,5,5
8,100,6,6
8,100,7,6
8,100,8,4
8,100,9,5
8,100,10,5
8,100,11,4
8,100,12,5
8,100,13,5
8,100,14,5
8,100,15,5
8,100,16,6
8,100,17,5
8,100,18,5
8,100,19,5
8,250,0,7
8,250,1,6
8,250,2,8
8,250,3,6
8,250,4,6
8,250,5,8
8,250,6,6
8,250,7,6
8,250,8,7
8,250,9,8
8,250,10,7
8,250,11,6
8,250,12,6
8,250,13,9
8,250,14,7
8,250,15,6
8,250,16,7
8,250,17,7
8,250,18,6
8,250,19,6
8,500,0,8
8,500,1,7
8,500,2,8
8,500,3,9
8,500,4,9
8,500,5,7
8,500,6,8
8,500,7,11
8,500,8,8
8,500,9,8
8,500,10,7
8,500,11,8
8,500,12,8
8,500,13,8
8,500,14,8
8,500,15,8
8,500,16,7
8,500,17,7
8,500,18,8
8,500,19,8
8,1000,0,10
8,1000,1,8
8,1000,2,9
8,1000,3,10
8,1000,4,10
8,1000,5,8
8,1000,6,9
8,1000,7,10
8,1000,8,10
8,1000,9,9
8,1000,10,8
8,1000,11,9
8,1000,12,8
8,1000,13,10
8,1000,14,10
8,1000,15,10
8,1000,16,10
8,1000,17,10
8,1000,18,8
8,1000,19,10
8,2500,0,11
8,2500,1,11
8,2500,2,11
8,2500,3,10
8,2500,4,11
8,2500,5,10
8,2500,6,10
8,2500,7,10
8,2500,8,10
8,2500,9,11
8,2500,10,10
8,2500,11,11
8,2500,12,11
8,2500,13,10
8,2500,14,10
8,2500,15,10
8,2500,16,11
8,2500,17,10
8,2500,18,10
8,2500,19,10
8,5000,0,13
8,5000,1,12
8,5000,2,12
8,5000,3,11
8,5000,4,12
8,5000,5,12
8,5000,6,14
8,5000,7,13
8,5000,8,12
8,5000,9,11
8,5000,10,11
8,5000,11,11
8,5000,12,12
8,5000,13,11
8,5000,14,11
8,5000,15,12
8,5000,16,11
8,5000,17,11
8,5000,18,11
8,5000,19,12
8,10000,0,13
8,10000,1,12
8,10000,2,12
8,10000,3,12
8,10000,4,14
8,10000,5,14
8,10000,6,13
8,10000,7,13
8,10000,8,13
8,10000,9,14
8,10000,10,15
8,10000,11,12
8,10000,12,12
8,10000,13,13
8,10000,14,13
8,10000,15,14
8,10000,16,13
8,10000,17,12
8,10000,18,12
8,10000,19,14
10,100,0,5
10,100,1,5
10,100,2,6
10,100,3,4
