n,nodos,funcion,repeticion,tiempo_ms
300,600,ft.maxmin,3,110.8144
300,600,ft.maxmin,4,112.0777
300,600,ft.maxmin,5,110.5248
300,600,ft.maxmin,6,111.0948
300,600,ft.maxmin,7,112.6747
300,600,ft.maxmin,8,113.0353
300,600,ft.maxmin,9,111.8508
400,800,ft.maxmin,0,260.818
400,800,ft.maxmin,1,259.3998
400,800,ft.maxmin,2,257.8718
400,800,ft.maxmin,3,257.6742
400,800,ft.maxmin,4,256.9486
400,800,ft.maxmin,5,259.7045
400,800,ft.maxmin,6,259.4521
400,800,ft.maxmin,7,259.2296
400,800,ft.maxmin,8,259.5098
400,800,ft.maxmin,9,259.4582
500,1000,ft.maxmin,0,501.8648
500,1000,ft.maxmin,1,497.1814
500,1000,ft.maxmin,2,495.9319
500,1000,ft.maxmin,3,497.2639
500,1000,ft.maxmin,4,497.2505
500,1000,ft.maxmin,5,497.1178
500,1000,ft.maxmin,6,496.4201
500,1000,ft.maxmin,7,496.6715
500,1000,ft.maxmin,8,497.53
500,1000,ft.maxmin,9,497.4029
600,1200,ft.maxmin,0,859.5341
600,1200,ft.maxmin,1,858.2046
600,1200,ft.maxmin,2,858.2279
600,1200,ft.maxmin,3,859.3463
600,1200,ft.maxmin,4,859.7373
600,1200,ft.maxmin,5,859.8592
600,1200,ft.maxmin,6,858.4337
600,1200,ft.maxmin,7,858.4587
600,1200,ft.maxmin,8,860.5955
600,1200,ft.maxmin,9,858.4986
800,1600,ft.maxmin,0,2036.5075
800,1600,ft.maxmin,1,2034.2271
800,1600,ft.maxmin,2,2044.0426
800,1600,ft.maxmin,3,2043.4479
800,1600,ft.maxmin,4,2033.6164
800,1600,ft.maxmin,5,2047.1832
800,1600,ft.maxmin,6,2034.6998
800,1600,ft.maxmin,7,2041.5426
800,1600,ft.maxmin,8,2033.7826
800,1600,ft.maxmin,9,2043.8393
900,1800,ft.maxmin,0,2888.0113
900,1800,ft.maxmin,1,2890.7025
900,1800,ft.maxmin,2,2886.2979
900,1800,ft.maxmin,3,2897.1379
900,1800,ft.maxmin,4,2903.4989
900,1800,ft.maxmin,5,2897.0063
900,1800,ft.maxmin,6,2900.0273
900,1800,ft.maxmin,7,2897.6101
900,1800,ft.maxmin,8,2903.0795
900,1800,ft.maxmin,9,2903.5378
1000,2000,ft.maxmin,0,3977.1731
1000,2000,ft.maxmin,1,3970.1459
1000,2000,ft.maxmin,2,3955.8451
1000,2000,ft.maxmin,3,3973.9399
1000,2000,ft.maxmin,4,3975.4903
1000,2000,ft.maxmin,5,3961.0487
1000,2000,ft.maxmin,6,3975.0628
1000,2000,ft.maxmin,7,3970.2811
1000,2000,ft.maxmin,8,3958.6051
1000,2000,ft.maxmin,9,3974.9727
